County,Year,HDU,HDUday
Merced,2021,561.2490871,128.0425273
Monterey,2021,257.1005843,179.6
Napa,2021,242.859624,156.3888889
Nevada,2021,145.8567929,171
NULL,2021,782.5787028,119
Orange,2021,402.8576573,130.3725835
Placer,2021,382.7495359,136.075982
Riverside,2021,779.600354,114.2522195
Sacramento,2021,415.2409606,131.0483871
SaltLake,2021,236.6622856,163.9259259
San Bernardino,2021,839.6862685,121.5625
SanBenito,2021,162.5353927,190.25
SanBernardino,2021,377.1224045,146.8511491
SanDiego,2021,302.4069586,142.22286
SanFrancisco,2021,179.2381258,169
SanJoaquin,2021,516.8358593,128.527439
SanLuisObispo,2021,191.7010977,168
SanMateo,2021,175.7091997,171.5500634
SantaBarbara,2021,181.6446179,171.7011494
SantaClara,2021,233.9983185,169.3539936
SantaCruz,2021,177.2833867,174.4044118
Shasta,2021,432.6522473,135.0012674
Solano,2021,333.7680293,142.9088146
Sonoma,2021,201.2391709,164.6
Stanislaus,2021,488.2840309,133.8566754
Sutter,2021,497.4447641,128.6607143
Tehama,2021,536.4758821,126.5384615
Tulare,2021,600.1310124,124.4713656
Ventura,2021,252.5125223,147.1182432
Yolo,2021,473.7469808,128.0053191
Yuba,2021,498.1599957,129.0384615
