County,Year,AnnualPrecip
Sutter,2020,534.2051048
Tehama,2020,521.0471868
Tulare,2020,251.6351425
Ventura,2020,361.4540189
Yolo,2020,439.338283
Yuba,2020,549.1705912
Alameda,2021,535.0315427
Butte,2021,986.7372138
Cache,2021,530.6567429
Calaveras,2021,847.8382172
Colusa,2021,705.5314312
ContraCosta,2021,582.4254882
Davis,2021,653.82062
Fresno,2021,285.4149
Glenn,2021,684.9371522
Imperial,2021,74.23700328
Inyo,2021,228.0107017
Kern,2021,148.4845728
Kings,2021,146.7935853
Lake,2021,1177.259373
LosAngeles,2021,265.6908218
Madera,2021,300.164141
Marin,2021,833.1386716
Merced,2021,317.6772843
Monterey,2021,503.8734565
Napa,2021,865.4913623
Nevada,2021,2069.767284
NULL,2021,481.619785
Orange,2021,251.1687801
Placer,2021,810.34649
Riverside,2021,114.441929
Sacramento,2021,635.1227986
SaltLake,2021,593.0745418
San Bernardino,2021,184.7143499
SanBenito,2021,409.4503215
SanBernardino,2021,288.8860804
SanDiego,2021,211.3674097
SanFrancisco,2021,575.8828638
SanJoaquin,2021,235.0062073
SanLuisObispo,2021,399.1159977
SanMateo,2021,781.6327801
SantaBarbara,2021,381.2873864
SantaClara,2021,824.1626348
SantaCruz,2021,648.0572365
Shasta,2021,1270.950334
Solano,2021,711.6089559
Sonoma,2021,990.4409561
Stanislaus,2021,406.6445455
Sutter,2021,727.5996056
Tehama,2021,732.7128423
Tulare,2021,271.4892348
Ventura,2021,269.3323026
Yolo,2021,596.781346
Yuba,2021,751.0166068
